character,degree,weighted_degree,betweenness,mentions
Beside Anna,2,2,0.0,1
Altogether Dolly,2,2,0.0013741243262860828,1
chubby,2,2,0.0,1
Metrov,1,2,0.0,3
Mihail Semyonovitch,1,1,0.0,1
Charles,1,1,0.0,1
Gvozdyov,1,1,0.0,2
Natalia Alexandrovna,1,1,0.0,1
tomber jusqu’au fond de mes bottes,1,1,0.0,1
Anna Arkadyevna’s,1,1,0.0,1
Prince Shtcherbatsky’s,1,1,0.0,1
Yeliseev,1,1,0.0,1
petit brin de,1,1,0.0,1
bonheur et de l’existence d’Anne et de,1,1,0.0,1
Marya Semyonovna,1,1,0.0,1
Levin to,1,1,0.0,1
Katka Maslov,1,1,0.0,1
Apostle Paul,1,1,0.0,1
Sventitsky,1,1,0.0,2
Alexander Nevsky,1,1,0.0,2
Veslovsky et Tushkevitch,1,1,0.0,1
Putyatov,1,1,0.0,1
Bols,1,1,0.0,1
Andrey,1,1,0.0,2
Mihail Vassilievitch Sludin,1,1,0.0,1
Princess Astafieva,1,1,0.0,1
Capuan,1,1,0.0,1
Karl Fedoritch,1,1,0.0,1
Altogether Mihailov,1,1,0.0,1
flaxen head,1,1,0.0,1
Rachel,1,1,0.0,1
Ivanov,1,1,0.0,3
Tintoretto,1,1,0.0,1
das ewig,1,1,0.0,1
Kruzin,1,1,0.0,1
de Varenka,1,1,0.0,1
Vronskys,1,1,0.0,1
serfs,1,1,0.0,1
Katavasov,1,1,0.0,1
jubilee,1,1,0.0,1
Ment,1,1,0.0,1
Natalia Golitzina,1,1,0.0,1
Serpohovskoy,1,1,0.0,1
Nevsky,1,1,0.0,1
countess?—a,1,1,0.0,1
Marya Nikolaevna,1,1,0.0,1
Nikolay Dmitrievitch’s,1,1,0.0,1
Vassily Fedorovitch,1,1,0.0,2
Lady Mary,1,1,0.0,1
Samovar,1,1,0.0,1
Kondraty,1,1,0.0,1
Hannah,1,1,0.0,2
Pierre,1,1,0.0,1
Pyotr Oblonsky’s,1,1,0.0,1
Que la personne qui est,1,1,0.0,1
qui demande,1,1,0.0,1
Alexander Vronsky,1,1,0.0,4
Anna Arkadyevna Karenina,1,1,0.0,1
Prince Kedrov,1,1,0.0,1
Louis Quinze,1,1,0.0,1
Myakaya,1,1,0.0,3
Count Bol,1,1,0.0,1
Vlassieva,1,1,0.0,2
Saul,1,1,0.0,1
Les amis de nos amis,1,1,0.0,1
Mishka,1,1,0.0,1
Ivan Ivanovitch,1,1,0.0,1
Yegorushka Korsunsky,1,1,0.0,1
Nikitins,1,1,0.0,1
baker,1,1,0.0,2
Alabin,1,1,0.0,1
Khiva,1,1,0.0,1
Kalinin,1,1,0.0,1
Alexander Nikolaevitch,1,1,0.0,1
Mihalitch,1,1,0.0,2
Grinevitch,1,1,0.0,2
Keiss,1,1,0.0,1
Fokanitch,1,1,0.0,2
Uncle Fokanitch,1,1,0.0,1
Begier,1,1,0.0,1
Bobrishtchevs,1,1,0.0,1
Aber doch,1,1,0.0,1
Bill,1,1,0.0,1
Babylon,1,1,0.0,1
Stepan Arkadyevitch’s,1,1,0.0,1
qui mal y,1,1,0.0,1
Klaras,1,1,0.0,1
filez,1,1,0.0,1
mon cher,1,1,0.0,1
Helsingfors,1,1,0.0,1
Levin two,1,1,0.0,1
John,1,1,0.0,4
Katerina Alexandrovna,1,1,0.0,5
Peter,1,1,0.0,1
Pomorsky,1,1,0.0,1
Krasnoe Selo,1,1,0.0,1
Mitin,1,1,0.0,1
Serpuhovskoy,1,1,0.0,8
Liza Mertsalova,1,1,0.0,1
Darmstadt,1,1,0.0,1
tidy yard,1,1,0.0,1
Mihail Petrovitch,1,1,0.0,3
Catherine,1,1,0.0,1
Mulhausen,1,1,0.0,1
Aliosha,1,1,0.0,1
Lassalle,1,1,0.0,1
Spencer,1,1,0.0,3
